rep,model_name,feature_split_col,train_size,train_ratio,test_size,test_ratio,accuracy,f1_score
0,CNV,sex,500,male:0.7/female:0.3,100,male:0.7/female:0.3,0.32653061224489793,0.24770268763243003
0,CNV,sex,500,male:0.7/female:0.3,100,male:0.6/female:0.4,0.34065934065934067,0.26360544217687076
0,CNV,sex,500,male:0.7/female:0.3,100,male:0.5/female:0.5,0.3469387755102041,0.28672249983135895
0,CNV,sex,500,male:0.7/female:0.3,100,male:0.4/female:0.6,0.31868131868131866,0.25624153109519665
0,CNV,sex,500,male:0.7/female:0.3,100,male:0.3/female:0.7,0.3163265306122449,0.2507488370842408
1,CNV,sex,500,male:0.7/female:0.3,100,male:0.7/female:0.3,0.3163265306122449,0.2320129734763881
1,CNV,sex,500,male:0.7/female:0.3,100,male:0.6/female:0.4,0.34065934065934067,0.2585431554576015
1,CNV,sex,500,male:0.7/female:0.3,100,male:0.5/female:0.5,0.3673469387755102,0.29681872749099647
1,CNV,sex,500,male:0.7/female:0.3,100,male:0.4/female:0.6,0.37362637362637363,0.3036226930963773
1,CNV,sex,500,male:0.7/female:0.3,100,male:0.3/female:0.7,0.3469387755102041,0.2798340654091094
2,CNV,sex,500,male:0.7/female:0.3,100,male:0.7/female:0.3,0.32653061224489793,0.28969703180607054
2,CNV,sex,500,male:0.7/female:0.3,100,male:0.6/female:0.4,0.34065934065934067,0.3125252951633672
2,CNV,sex,500,male:0.7/female:0.3,100,male:0.5/female:0.5,0.3469387755102041,0.31568628652551806
2,CNV,sex,500,male:0.7/female:0.3,100,male:0.4/female:0.6,0.32967032967032966,0.2954474696056913
2,CNV,sex,500,male:0.7/female:0.3,100,male:0.3/female:0.7,0.336734693877551,0.2961844357193194
3,CNV,sex,500,male:0.7/female:0.3,100,male:0.7/female:0.3,0.25510204081632654,0.1872530849911745
3,CNV,sex,500,male:0.7/female:0.3,100,male:0.6/female:0.4,0.26373626373626374,0.19877860235003092
3,CNV,sex,500,male:0.7/female:0.3,100,male:0.5/female:0.5,0.2755102040816326,0.22187370600414077
3,CNV,sex,500,male:0.7/female:0.3,100,male:0.4/female:0.6,0.24175824175824176,0.181534486185649
3,CNV,sex,500,male:0.7/female:0.3,100,male:0.3/female:0.7,0.24489795918367346,0.18302530802530806
4,CNV,sex,500,male:0.7/female:0.3,100,male:0.7/female:0.3,0.32653061224489793,0.2532467532467532
4,CNV,sex,500,male:0.7/female:0.3,100,male:0.6/female:0.4,0.32967032967032966,0.2653170288638269
4,CNV,sex,500,male:0.7/female:0.3,100,male:0.5/female:0.5,0.3469387755102041,0.28054802340516627
4,CNV,sex,500,male:0.7/female:0.3,100,male:0.4/female:0.6,0.34065934065934067,0.28061257947995244
4,CNV,sex,500,male:0.7/female:0.3,100,male:0.3/female:0.7,0.32653061224489793,0.2790945145671458
