rep,model_name,feature_split_col,train_size,train_ratio_detail,test_size,test_ratio_detail,accuracy,f1_score,eo_diff,train_ratio_rel,test_ratio_rel,train_ratio,test_ratio
0,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.1/female:0.9,0.78,0.7792051384985951,0.17777777777777778,female:0.9000/male:0.1000,female:0.9000/male:0.1000,:1/:9,:1/:9
0,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.3/female:0.7,0.8,0.7996794871794871,0.1523809523809524,female:0.9000/male:0.1000,female:0.7000/male:0.3000,:1/:9,:3/:7
0,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.5/female:0.5,0.76,0.7599039615846338,0.12,female:0.9000/male:0.1000,male:0.5000/female:0.5000,:1/:9,:5/:5
0,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.7/female:0.3,0.71,0.7097387648883995,0.08571428571428574,female:0.9000/male:0.1000,male:0.7000/female:0.3000,:1/:9,:7/:3
0,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.9/female:0.1,0.67,0.6697027324592133,0.17777777777777776,female:0.9000/male:0.1000,male:0.9000/female:0.1000,:1/:9,:9/:1
0,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.1/female:0.9,0.74,0.7398959583833533,0.3111111111111111,male:0.5000/female:0.5000,female:0.9000/male:0.1000,:5/:5,:1/:9
0,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.3/female:0.7,0.77,0.76997699769977,0.21904761904761905,male:0.5000/female:0.5000,female:0.7000/male:0.3000,:5/:5,:3/:7
0,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.5/female:0.5,0.78,0.7796474358974359,0.12,male:0.5000/female:0.5000,male:0.5000/female:0.5000,:5/:5,:5/:5
0,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.7/female:0.3,0.7,0.6989160979526295,0.2285714285714286,male:0.5000/female:0.5000,male:0.7000/female:0.3000,:5/:5,:7/:3
0,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.9/female:0.1,0.73,0.7277951406391773,0.2666666666666666,male:0.5000/female:0.5000,male:0.9000/female:0.1000,:5/:5,:9/:1
1,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.1/female:0.9,0.79,0.7898108297467721,0.1777777777777778,female:0.9000/male:0.1000,female:0.9000/male:0.1000,:1/:9,:1/:9
1,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.3/female:0.7,0.78,0.7799119647859143,0.2285714285714286,female:0.9000/male:0.1000,female:0.7000/male:0.3000,:1/:9,:3/:7
1,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.5/female:0.5,0.74,0.7390606182256123,0.24,female:0.9000/male:0.1000,male:0.5000/female:0.5000,:1/:9,:5/:5
1,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.7/female:0.3,0.69,0.6884735202492211,0.16190476190476188,female:0.9000/male:0.1000,male:0.7000/female:0.3000,:1/:9,:7/:3
1,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.9/female:0.1,0.66,0.6587715776796468,0.2222222222222222,female:0.9000/male:0.1000,male:0.9000/female:0.1000,:1/:9,:9/:1
1,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.1/female:0.9,0.71,0.7097387648883995,0.0888888888888889,male:0.5000/female:0.5000,female:0.9000/male:0.1000,:5/:5,:1/:9
1,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.3/female:0.7,0.75,0.7493734335839599,0.19047619047619047,male:0.5000/female:0.5000,female:0.7000/male:0.3000,:5/:5,:3/:7
1,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.5/female:0.5,0.78,0.7785829307568438,0.19999999999999998,male:0.5000/female:0.5000,male:0.5000/female:0.5000,:5/:5,:5/:5
1,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.7/female:0.3,0.71,0.7076318177235609,0.28571428571428575,male:0.5000/female:0.5000,male:0.7000/female:0.3000,:5/:5,:7/:3
1,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.9/female:0.1,0.75,0.7479584635547938,0.28888888888888886,male:0.5000/female:0.5000,male:0.9000/female:0.1000,:5/:5,:9/:1
2,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.1/female:0.9,0.79,0.7898108297467721,0.2,female:0.9000/male:0.1000,female:0.9000/male:0.1000,:1/:9,:1/:9
2,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.3/female:0.7,0.78,0.7799119647859143,0.1333333333333333,female:0.9000/male:0.1000,female:0.7000/male:0.3000,:1/:9,:3/:7
2,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.5/female:0.5,0.73,0.7286704853783539,0.2,female:0.9000/male:0.1000,male:0.5000/female:0.5000,:1/:9,:5/:5
2,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.7/female:0.3,0.7,0.6980676328502414,0.16190476190476188,female:0.9000/male:0.1000,male:0.7000/female:0.3000,:1/:9,:7/:3
2,mobile net 2,sex,500,male:0.1/female:0.9,100,male:0.9/female:0.1,0.66,0.6578099838969405,0.2444444444444444,female:0.9000/male:0.1000,male:0.9000/female:0.1000,:1/:9,:9/:1
2,mobile net 2,sex,500,male:0.5/female:0.5,100,male:0.1/female:0.9,0.72,0.719551282051282,0.0888888888888889,male:0.5000/female:0.5000,female:0.9000/male:0.1000,:5/:5,:1/:9
