rep,model_name,feature_split_col,train_size,train_ratio_detail,test_size,test_ratio_detail,train_ratio_rel,test_ratio_rel,train_ratio,test_ratio,accuracy,TN,FP,FN,TP,fairness_tpr_gap,fairness_fpr_gap,fairness_pos_rate_gap,fairness_per_group_json,path_roc
0,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.1/female:0.9,female:0.8000/male:0.2000,female:0.9000/male:0.1000,2/8,1/9,0.96,243,7,13,237,0.03111111111111109,0.03111111111111111,0.03111111111111109,"{""tpr"": {""female"": 0.9511111111111111, ""male"": 0.92}, ""fpr"": {""female"": 0.03111111111111111, ""male"": 0.0}, ""pos_rate"": {""female"": 0.4911111111111111, ""male"": 0.46}}",/kaggle/working/res/roc_sex_efficientnetv2_rep0_1753344871706776234.csv
0,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.2/female:0.8,female:0.8000/male:0.2000,female:0.8000/male:0.2000,2/8,2/8,0.958,242,8,13,237,0.010000000000000009,0.015000000000000003,0.012500000000000011,"{""tpr"": {""female"": 0.95, ""male"": 0.94}, ""fpr"": {""female"": 0.035, ""male"": 0.02}, ""pos_rate"": {""female"": 0.4925, ""male"": 0.48}}",/kaggle/working/res/roc_sex_efficientnetv2_rep0_1753344874048037299.csv
0,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.3/female:0.7,female:0.8000/male:0.2000,female:0.7000/male:0.3000,2/8,3/7,0.952,241,9,15,235,0.02857142857142858,0.013333333333333332,0.020952380952380945,"{""tpr"": {""female"": 0.9485714285714286, ""male"": 0.92}, ""fpr"": {""female"": 0.04, ""male"": 0.02666666666666667}, ""pos_rate"": {""female"": 0.4942857142857143, ""male"": 0.47333333333333333}}",/kaggle/working/res/roc_sex_efficientnetv2_rep0_1753344876403451716.csv
0,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.4/female:0.6,female:0.8000/male:0.2000,female:0.6000/male:0.4000,2/8,4/6,0.944,239,11,17,233,0.019999999999999907,0.010000000000000002,0.0050000000000000044,"{""tpr"": {""female"": 0.94, ""male"": 0.92}, ""fpr"": {""female"": 0.04, ""male"": 0.05}, ""pos_rate"": {""female"": 0.49, ""male"": 0.485}}",/kaggle/working/res/roc_sex_efficientnetv2_rep0_1753344878810433980.csv
0,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.5/female:0.5,female:0.8000/male:0.2000,female:0.5000/male:0.5000,2/8,5/5,0.95,240,10,15,235,0.007999999999999896,0.0,0.0040000000000000036,"{""tpr"": {""female"": 0.944, ""male"": 0.936}, ""fpr"": {""female"": 0.04, ""male"": 0.04}, ""pos_rate"": {""female"": 0.492, ""male"": 0.488}}",/kaggle/working/res/roc_sex_efficientnetv2_rep0_1753344881231522019.csv
0,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.6/female:0.4,female:0.8000/male:0.2000,male:0.6000/female:0.4000,2/8,6/4,0.944,239,11,17,233,0.029999999999999916,0.006666666666666668,0.011666666666666659,"{""tpr"": {""female"": 0.95, ""male"": 0.92}, ""fpr"": {""female"": 0.04, ""male"": 0.04666666666666667}, ""pos_rate"": {""female"": 0.495, ""male"": 0.48333333333333334}}",/kaggle/working/res/roc_sex_efficientnetv2_rep0_1753344883636864108.csv
0,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.7/female:0.3,female:0.8000/male:0.2000,male:0.7000/female:0.3000,2/8,7/3,0.932,237,13,21,229,0.024761904761904763,0.001904761904761909,0.013333333333333364,"{""tpr"": {""female"": 0.9333333333333333, ""male"": 0.9085714285714286}, ""fpr"": {""female"": 0.05333333333333334, ""male"": 0.05142857142857143}, ""pos_rate"": {""female"": 0.49333333333333335, ""male"": 0.48}}",/kaggle/working/res/roc_sex_efficientnetv2_rep0_1753344886073555922.csv
0,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.8/female:0.2,female:0.8000/male:0.2000,male:0.8000/female:0.2000,2/8,8/2,0.934,236,14,19,231,0.019999999999999907,0.019999999999999997,0.0,"{""tpr"": {""female"": 0.94, ""male"": 0.92}, ""fpr"": {""female"": 0.04, ""male"": 0.06}, ""pos_rate"": {""female"": 0.49, ""male"": 0.49}}",/kaggle/working/res/roc_sex_efficientnetv2_rep0_1753344888528414567.csv
0,efficientnetv2,sex,5000,male:0.2/female:0.8,500,male:0.9/female:0.1,female:0.8000/male:0.2000,male:0.9000/female:0.1000,2/8,9/1,0.928,234,16,20,230,0.0444444444444444,0.026666666666666665,0.00888888888888889,"{""tpr"": {""female"": 0.96, ""male"": 0.9155555555555556}, ""fpr"": {""female"": 0.04, ""male"": 0.06666666666666667}, ""pos_rate"": {""female"": 0.5, ""male"": 0.4911111111111111}}",/kaggle/working/res/roc_sex_efficientnetv2_rep0_1753344891022557263.csv
0,efficientnetv2,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,male:0.5000/female:0.5000,female:0.9000/male:0.1000,5/5,1/9,0.944,234,16,12,238,0.03555555555555556,0.07111111111111111,0.05333333333333329,"{""tpr"": {""male"": 0.92, ""female"": 0.9555555555555556}, ""fpr"": {""male"": 0.0, ""female"": 0.07111111111111111}, ""pos_rate"": {""male"": 0.46, ""female"": 0.5133333333333333}}",/kaggle/working/res/roc_sex_efficientnetv2_rep0_1753347057800082306.csv
