rep,model_name,feature_split_col,train_size,train_ratio_detail,test_size,test_ratio_detail,train_ratio_rel,test_ratio_rel,train_ratio,test_ratio,accuracy,TN,FP,FN,TP,fairness_tpr_gap,fairness_fpr_gap,fairness_pos_rate_gap,fairness_per_group_json,path_roc
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.1/female:0.9,female:0.8000/male:0.2000,female:0.9000/male:0.1000,2/8,1/9,0.814,217,33,60,190,0.0,0.12,0.06,"{""tpr"": {""female"": 0.76, ""male"": 0.76}, ""fpr"": {""female"": 0.12, ""male"": 0.24}, ""pos_rate"": {""female"": 0.44, ""male"": 0.5}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753287962796755136.csv
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.2/female:0.8,female:0.8000/male:0.2000,female:0.8000/male:0.2000,2/8,2/8,0.81,213,37,58,192,0.06499999999999995,0.065,0.065,"{""tpr"": {""female"": 0.755, ""male"": 0.82}, ""fpr"": {""female"": 0.135, ""male"": 0.2}, ""pos_rate"": {""female"": 0.445, ""male"": 0.51}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753287964150870478.csv
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.3/female:0.7,female:0.8000/male:0.2000,female:0.7000/male:0.3000,2/8,3/7,0.814,217,33,60,190,0.03809523809523807,0.020952380952380945,0.029523809523809508,"{""tpr"": {""female"": 0.7485714285714286, ""male"": 0.7866666666666666}, ""fpr"": {""female"": 0.12571428571428572, ""male"": 0.14666666666666667}, ""pos_rate"": {""female"": 0.43714285714285717, ""male"": 0.4666666666666667}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753287965508472232.csv
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.4/female:0.6,female:0.8000/male:0.2000,female:0.6000/male:0.4000,2/8,4/6,0.804,213,37,61,189,0.056666666666666754,0.07,0.0633333333333333,"{""tpr"": {""female"": 0.7333333333333333, ""male"": 0.79}, ""fpr"": {""female"": 0.12, ""male"": 0.19}, ""pos_rate"": {""female"": 0.4266666666666667, ""male"": 0.49}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753287966860892226.csv
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.5/female:0.5,female:0.8000/male:0.2000,female:0.5000/male:0.5000,2/8,5/5,0.794,210,40,63,187,0.08800000000000008,0.064,0.07600000000000001,"{""tpr"": {""female"": 0.704, ""male"": 0.792}, ""fpr"": {""female"": 0.128, ""male"": 0.192}, ""pos_rate"": {""female"": 0.416, ""male"": 0.492}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753287968223844461.csv
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.6/female:0.4,female:0.8000/male:0.2000,male:0.6000/female:0.4000,2/8,6/4,0.79,208,42,63,187,0.08000000000000007,0.09666666666666666,0.08833333333333332,"{""tpr"": {""female"": 0.7, ""male"": 0.78}, ""fpr"": {""female"": 0.11, ""male"": 0.20666666666666667}, ""pos_rate"": {""female"": 0.405, ""male"": 0.49333333333333335}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753287969726805093.csv
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.7/female:0.3,female:0.8000/male:0.2000,male:0.7000/female:0.3000,2/8,7/3,0.786,205,45,62,188,0.08380952380952378,0.10476190476190476,0.09428571428571425,"{""tpr"": {""female"": 0.6933333333333334, ""male"": 0.7771428571428571}, ""fpr"": {""female"": 0.10666666666666667, ""male"": 0.21142857142857144}, ""pos_rate"": {""female"": 0.4, ""male"": 0.4942857142857143}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753287971089182872.csv
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.8/female:0.2,female:0.8000/male:0.2000,male:0.8000/female:0.2000,2/8,8/2,0.776,197,53,59,191,0.10499999999999998,0.11499999999999999,0.10999999999999999,"{""tpr"": {""female"": 0.68, ""male"": 0.785}, ""fpr"": {""female"": 0.12, ""male"": 0.235}, ""pos_rate"": {""female"": 0.4, ""male"": 0.51}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753287972440090403.csv
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.9/female:0.1,female:0.8000/male:0.2000,male:0.9000/female:0.1000,2/8,9/1,0.768,191,59,57,193,0.1466666666666666,0.1288888888888889,0.13777777777777778,"{""tpr"": {""female"": 0.64, ""male"": 0.7866666666666666}, ""fpr"": {""female"": 0.12, ""male"": 0.24888888888888888}, ""pos_rate"": {""female"": 0.38, ""male"": 0.5177777777777778}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753287973814021559.csv
0,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,male:0.5000/female:0.5000,female:0.9000/male:0.1000,5/5,1/9,0.906,239,11,36,214,0.01777777777777778,0.004444444444444445,0.011111111111111127,"{""tpr"": {""male"": 0.84, ""female"": 0.8577777777777778}, ""fpr"": {""male"": 0.04, ""female"": 0.044444444444444446}, ""pos_rate"": {""male"": 0.44, ""female"": 0.45111111111111113}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753289303059059929.csv
0,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.2/female:0.8,male:0.5000/female:0.5000,female:0.8000/male:0.2000,5/5,2/8,0.912,239,11,33,217,0.06500000000000006,0.030000000000000002,0.01749999999999996,"{""tpr"": {""male"": 0.92, ""female"": 0.855}, ""fpr"": {""male"": 0.02, ""female"": 0.05}, ""pos_rate"": {""male"": 0.47, ""female"": 0.4525}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753289304420747200.csv
0,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.3/female:0.7,male:0.5000/female:0.5000,female:0.7000/male:0.3000,5/5,3/7,0.912,238,12,32,218,0.0876190476190476,0.030476190476190473,0.02857142857142858,"{""tpr"": {""male"": 0.9333333333333333, ""female"": 0.8457142857142858}, ""fpr"": {""male"": 0.02666666666666667, ""female"": 0.05714285714285714}, ""pos_rate"": {""male"": 0.48, ""female"": 0.4514285714285714}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753289305758516434.csv
