rep,model_name,feature_split_col,train_size,train_ratio_detail,test_size,test_ratio_detail,train_ratio_rel,test_ratio_rel,train_ratio,test_ratio,accuracy,TN,FP,FN,TP,fairness_tpr_gap,fairness_fpr_gap,fairness_pos_rate_gap,fairness_per_group_json,path_roc
0,xception,sex,5000,male:0.2/female:0.8,500,male:0.1/female:0.9,female:0.8000/male:0.2000,female:0.9000/male:0.1000,2/8,1/9,0.926,242,8,29,221,0.13777777777777778,0.035555555555555556,0.08666666666666667,"{""tpr"": {""female"": 0.8977777777777778, ""male"": 0.76}, ""fpr"": {""female"": 0.035555555555555556, ""male"": 0.0}, ""pos_rate"": {""female"": 0.4666666666666667, ""male"": 0.38}}",/kaggle/working/res/roc_sex_xception_rep0_1753256942240261055.csv
0,xception,sex,5000,male:0.2/female:0.8,500,male:0.2/female:0.8,female:0.8000/male:0.2000,female:0.8000/male:0.2000,2/8,2/8,0.924,240,10,28,222,0.010000000000000009,0.0,0.0050000000000000044,"{""tpr"": {""female"": 0.89, ""male"": 0.88}, ""fpr"": {""female"": 0.04, ""male"": 0.04}, ""pos_rate"": {""female"": 0.465, ""male"": 0.46}}",/kaggle/working/res/roc_sex_xception_rep0_1753256945265364302.csv
0,xception,sex,5000,male:0.2/female:0.8,500,male:0.3/female:0.7,female:0.8000/male:0.2000,female:0.7000/male:0.3000,2/8,3/7,0.914,240,10,33,217,0.040000000000000036,0.0,0.020000000000000018,"{""tpr"": {""female"": 0.88, ""male"": 0.84}, ""fpr"": {""female"": 0.04, ""male"": 0.04}, ""pos_rate"": {""female"": 0.46, ""male"": 0.44}}",/kaggle/working/res/roc_sex_xception_rep0_1753256948297750106.csv
0,xception,sex,5000,male:0.2/female:0.8,500,male:0.4/female:0.6,female:0.8000/male:0.2000,female:0.6000/male:0.4000,2/8,4/6,0.902,238,12,37,213,0.036666666666666736,0.019999999999999997,0.008333333333333304,"{""tpr"": {""female"": 0.8666666666666667, ""male"": 0.83}, ""fpr"": {""female"": 0.04, ""male"": 0.06}, ""pos_rate"": {""female"": 0.4533333333333333, ""male"": 0.445}}",/kaggle/working/res/roc_sex_xception_rep0_1753256951305010784.csv
0,xception,sex,5000,male:0.2/female:0.8,500,male:0.5/female:0.5,female:0.8000/male:0.2000,female:0.5000/male:0.5000,2/8,5/5,0.904,239,11,37,213,0.008000000000000007,0.008,0.0,"{""tpr"": {""female"": 0.856, ""male"": 0.848}, ""fpr"": {""female"": 0.04, ""male"": 0.048}, ""pos_rate"": {""female"": 0.448, ""male"": 0.448}}",/kaggle/working/res/roc_sex_xception_rep0_1753256954396861525.csv
0,xception,sex,5000,male:0.2/female:0.8,500,male:0.6/female:0.4,female:0.8000/male:0.2000,male:0.6000/female:0.4000,2/8,6/4,0.888,236,14,42,208,0.013333333333333308,0.026666666666666665,0.006666666666666654,"{""tpr"": {""female"": 0.84, ""male"": 0.8266666666666667}, ""fpr"": {""female"": 0.04, ""male"": 0.06666666666666667}, ""pos_rate"": {""female"": 0.44, ""male"": 0.44666666666666666}}",/kaggle/working/res/roc_sex_xception_rep0_1753256957468358467.csv
0,xception,sex,5000,male:0.2/female:0.8,500,male:0.7/female:0.3,female:0.8000/male:0.2000,male:0.7000/female:0.3000,2/8,7/3,0.88,236,14,46,204,0.003809523809523818,0.02285714285714286,0.013333333333333308,"{""tpr"": {""female"": 0.8133333333333334, ""male"": 0.8171428571428572}, ""fpr"": {""female"": 0.04, ""male"": 0.06285714285714286}, ""pos_rate"": {""female"": 0.4266666666666667, ""male"": 0.44}}",/kaggle/working/res/roc_sex_xception_rep0_1753256960503779032.csv
0,xception,sex,5000,male:0.2/female:0.8,500,male:0.8/female:0.2,female:0.8000/male:0.2000,male:0.8000/female:0.2000,2/8,8/2,0.88,236,14,46,204,0.019999999999999907,0.045,0.03250000000000003,"{""tpr"": {""female"": 0.8, ""male"": 0.82}, ""fpr"": {""female"": 0.02, ""male"": 0.065}, ""pos_rate"": {""female"": 0.41, ""male"": 0.4425}}",/kaggle/working/res/roc_sex_xception_rep0_1753256963565638130.csv
0,xception,sex,5000,male:0.2/female:0.8,500,male:0.9/female:0.1,female:0.8000/male:0.2000,male:0.9000/female:0.1000,2/8,9/1,0.866,233,17,50,200,0.0444444444444444,0.03111111111111111,0.037777777777777743,"{""tpr"": {""female"": 0.76, ""male"": 0.8044444444444444}, ""fpr"": {""female"": 0.04, ""male"": 0.07111111111111111}, ""pos_rate"": {""female"": 0.4, ""male"": 0.43777777777777777}}",/kaggle/working/res/roc_sex_xception_rep0_1753256966622957977.csv
0,xception,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,male:0.5000/female:0.5000,female:0.9000/male:0.1000,5/5,1/9,0.896,232,18,34,216,0.01777777777777778,0.035555555555555556,0.00888888888888889,"{""tpr"": {""male"": 0.88, ""female"": 0.8622222222222222}, ""fpr"": {""male"": 0.04, ""female"": 0.07555555555555556}, ""pos_rate"": {""male"": 0.46, ""female"": 0.4688888888888889}}",/kaggle/working/res/roc_sex_xception_rep0_1753258978205807757.csv
0,xception,sex,5000,male:0.5/female:0.5,500,male:0.2/female:0.8,male:0.5000/female:0.5000,female:0.8000/male:0.2000,5/5,2/8,0.906,232,18,29,221,0.06999999999999995,0.065,0.0025000000000000022,"{""tpr"": {""male"": 0.94, ""female"": 0.87}, ""fpr"": {""male"": 0.02, ""female"": 0.085}, ""pos_rate"": {""male"": 0.48, ""female"": 0.4775}}",/kaggle/working/res/roc_sex_xception_rep0_1753258981158446564.csv
0,xception,sex,5000,male:0.5/female:0.5,500,male:0.3/female:0.7,male:0.5000/female:0.5000,female:0.7000/male:0.3000,5/5,3/7,0.908,232,18,28,222,0.08380952380952378,0.06476190476190476,0.009523809523809545,"{""tpr"": {""male"": 0.9466666666666667, ""female"": 0.8628571428571429}, ""fpr"": {""male"": 0.02666666666666667, ""female"": 0.09142857142857143}, ""pos_rate"": {""male"": 0.4866666666666667, ""female"": 0.47714285714285715}}",/kaggle/working/res/roc_sex_xception_rep0_1753258984137161035.csv
0,xception,sex,5000,male:0.5/female:0.5,500,male:0.4/female:0.6,male:0.5000/female:0.5000,female:0.6000/male:0.4000,5/5,4/6,0.92,234,16,24,226,0.09333333333333327,0.07333333333333333,0.010000000000000009,"{""tpr"": {""male"": 0.96, ""female"": 0.8666666666666667}, ""fpr"": {""male"": 0.02, ""female"": 0.09333333333333334}, ""pos_rate"": {""male"": 0.49, ""female"": 0.48}}",/kaggle/working/res/roc_sex_xception_rep0_1753258987112689805.csv
0,xception,sex,5000,male:0.5/female:0.5,500,male:0.5/female:0.5,male:0.5000/female:0.5000,male:0.5000/female:0.5000,5/5,5/5,0.928,235,15,21,229,0.10399999999999998,0.07200000000000001,0.016000000000000014,"{""tpr"": {""male"": 0.968, ""female"": 0.864}, ""fpr"": {""male"": 0.024, ""female"": 0.096}, ""pos_rate"": {""male"": 0.496, ""female"": 0.48}}",/kaggle/working/res/roc_sex_xception_rep0_1753258990117413237.csv
0,xception,sex,5000,male:0.5/female:0.5,500,male:0.6/female:0.4,male:0.5000/female:0.5000,male:0.6000/female:0.4000,5/5,6/4,0.928,235,15,21,229,0.1266666666666667,0.06666666666666668,0.030000000000000027,"{""tpr"": {""male"": 0.9666666666666667, ""female"": 0.84}, ""fpr"": {""male"": 0.03333333333333333, ""female"": 0.1}, ""pos_rate"": {""male"": 0.5, ""female"": 0.47}}",/kaggle/working/res/roc_sex_xception_rep0_1753258993117612768.csv
0,xception,sex,5000,male:0.5/female:0.5,500,male:0.7/female:0.3,male:0.5000/female:0.5000,male:0.7000/female:0.3000,5/5,7/3,0.938,238,12,19,231,0.15809523809523807,0.06476190476190477,0.04666666666666669,"{""tpr"": {""male"": 0.9714285714285714, ""female"": 0.8133333333333334}, ""fpr"": {""male"": 0.02857142857142857, ""female"": 0.09333333333333334}, ""pos_rate"": {""male"": 0.5, ""female"": 0.4533333333333333}}",/kaggle/working/res/roc_sex_xception_rep0_1753258996127653057.csv
0,xception,sex,5000,male:0.5/female:0.5,500,male:0.8/female:0.2,male:0.5000/female:0.5000,male:0.8000/female:0.2000,5/5,8/2,0.956,241,9,13,237,0.135,0.055,0.03999999999999998,"{""tpr"": {""male"": 0.975, ""female"": 0.84}, ""fpr"": {""male"": 0.025, ""female"": 0.08}, ""pos_rate"": {""male"": 0.5, ""female"": 0.46}}",/kaggle/working/res/roc_sex_xception_rep0_1753258999179093846.csv
0,xception,sex,5000,male:0.5/female:0.5,500,male:0.9/female:0.1,male:0.5000/female:0.5000,male:0.9000/female:0.1000,5/5,9/1,0.96,240,10,10,240,0.13333333333333341,0.08888888888888888,0.022222222222222254,"{""tpr"": {""male"": 0.9733333333333334, ""female"": 0.84}, ""fpr"": {""male"": 0.03111111111111111, ""female"": 0.12}, ""pos_rate"": {""male"": 0.5022222222222222, ""female"": 0.48}}",/kaggle/working/res/roc_sex_xception_rep0_1753259002194279247.csv
1,xception,sex,5000,male:0.2/female:0.8,500,male:0.1/female:0.9,female:0.8000/male:0.2000,female:0.9000/male:0.1000,2/8,1/9,0.864,226,24,44,206,0.01777777777777778,0.06222222222222223,0.0222222222222222,"{""tpr"": {""female"": 0.8222222222222222, ""male"": 0.84}, ""fpr"": {""female"": 0.10222222222222223, ""male"": 0.04}, ""pos_rate"": {""female"": 0.4622222222222222, ""male"": 0.44}}",/kaggle/working/res/roc_sex_xception_rep1_1753260226564309398.csv
1,xception,sex,5000,male:0.2/female:0.8,500,male:0.2/female:0.8,female:0.8000/male:0.2000,female:0.8000/male:0.2000,2/8,2/8,0.86,225,25,45,205,0.0,0.05,0.025000000000000022,"{""tpr"": {""female"": 0.82, ""male"": 0.82}, ""fpr"": {""female"": 0.11, ""male"": 0.06}, ""pos_rate"": {""female"": 0.465, ""male"": 0.44}}",/kaggle/working/res/roc_sex_xception_rep1_1753260229574305527.csv
1,xception,sex,5000,male:0.2/female:0.8,500,male:0.3/female:0.7,female:0.8000/male:0.2000,female:0.7000/male:0.3000,2/8,3/7,0.86,225,25,45,205,0.00952380952380949,0.028571428571428567,0.019047619047619035,"{""tpr"": {""female"": 0.8228571428571428, ""male"": 0.8133333333333334}, ""fpr"": {""female"": 0.10857142857142857, ""male"": 0.08}, ""pos_rate"": {""female"": 0.4657142857142857, ""male"": 0.44666666666666666}}",/kaggle/working/res/roc_sex_xception_rep1_1753260232570694853.csv
1,xception,sex,5000,male:0.2/female:0.8,500,male:0.4/female:0.6,female:0.8000/male:0.2000,female:0.6000/male:0.4000,2/8,4/6,0.85,224,26,49,201,0.023333333333333317,0.006666666666666668,0.015000000000000013,"{""tpr"": {""female"": 0.8133333333333334, ""male"": 0.79}, ""fpr"": {""female"": 0.10666666666666667, ""male"": 0.1}, ""pos_rate"": {""female"": 0.46, ""male"": 0.445}}",/kaggle/working/res/roc_sex_xception_rep1_1753260235609392885.csv
1,xception,sex,5000,male:0.2/female:0.8,500,male:0.5/female:0.5,female:0.8000/male:0.2000,female:0.5000/male:0.5000,2/8,5/5,0.854,226,24,49,201,0.02399999999999991,0.016,0.0040000000000000036,"{""tpr"": {""female"": 0.792, ""male"": 0.816}, ""fpr"": {""female"": 0.104, ""male"": 0.088}, ""pos_rate"": {""female"": 0.448, ""male"": 0.452}}",/kaggle/working/res/roc_sex_xception_rep1_1753260238649613713.csv
1,xception,sex,5000,male:0.2/female:0.8,500,male:0.6/female:0.4,female:0.8000/male:0.2000,male:0.6000/female:0.4000,2/8,6/4,0.848,223,27,49,201,0.023333333333333317,0.013333333333333322,0.018333333333333313,"{""tpr"": {""female"": 0.79, ""male"": 0.8133333333333334}, ""fpr"": {""female"": 0.1, ""male"": 0.11333333333333333}, ""pos_rate"": {""female"": 0.445, ""male"": 0.4633333333333333}}",/kaggle/working/res/roc_sex_xception_rep1_1753260241687223776.csv
