rep,model_name,feature_split_col,train_size,train_ratio_detail,test_size,test_ratio_detail,train_ratio_rel,test_ratio_rel,train_ratio,test_ratio,accuracy,TN,FP,FN,TP,fairness_tpr_gap,fairness_fpr_gap,fairness_pos_rate_gap,fairness_per_group_json,path_roc
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.1/female:0.9,female:0.8000/male:0.2000,female:0.9000/male:0.1000,2/8,1/9,0.808,246,4,92,158,0.12444444444444447,0.026666666666666665,0.04888888888888887,"{""tpr"": {""female"": 0.6444444444444445, ""male"": 0.52}, ""fpr"": {""female"": 0.013333333333333334, ""male"": 0.04}, ""pos_rate"": {""female"": 0.3288888888888889, ""male"": 0.28}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753428918648266691.csv
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.2/female:0.8,female:0.8000/male:0.2000,female:0.8000/male:0.2000,2/8,2/8,0.808,244,6,90,160,0.07500000000000007,0.07,0.0025000000000000022,"{""tpr"": {""male"": 0.58, ""female"": 0.655}, ""fpr"": {""male"": 0.08, ""female"": 0.01}, ""pos_rate"": {""male"": 0.33, ""female"": 0.3325}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753428920761951045.csv
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.3/female:0.7,female:0.8000/male:0.2000,female:0.7000/male:0.3000,2/8,3/7,0.816,243,7,85,165,0.1428571428571428,0.07428571428571429,0.03428571428571425,"{""tpr"": {""male"": 0.56, ""female"": 0.7028571428571428}, ""fpr"": {""male"": 0.08, ""female"": 0.005714285714285714}, ""pos_rate"": {""male"": 0.32, ""female"": 0.35428571428571426}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753428922885112431.csv
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.4/female:0.6,female:0.8000/male:0.2000,female:0.6000/male:0.4000,2/8,4/6,0.822,241,9,80,170,0.04999999999999993,0.05666666666666667,0.053333333333333344,"{""tpr"": {""male"": 0.71, ""female"": 0.66}, ""fpr"": {""male"": 0.07, ""female"": 0.013333333333333334}, ""pos_rate"": {""male"": 0.39, ""female"": 0.33666666666666667}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753428924943166280.csv
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.5/female:0.5,female:0.8000/male:0.2000,male:0.5000/female:0.5000,2/8,5/5,0.802,244,6,93,157,0.008000000000000007,0.0,0.0040000000000000036,"{""tpr"": {""male"": 0.624, ""female"": 0.632}, ""fpr"": {""male"": 0.024, ""female"": 0.024}, ""pos_rate"": {""male"": 0.324, ""female"": 0.328}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753428927020197737.csv
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.6/female:0.4,female:0.8000/male:0.2000,male:0.6000/female:0.4000,2/8,6/4,0.844,235,15,63,187,0.12,0.05,0.034999999999999976,"{""tpr"": {""male"": 0.7, ""female"": 0.82}, ""fpr"": {""male"": 0.08, ""female"": 0.03}, ""pos_rate"": {""male"": 0.39, ""female"": 0.425}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753428929013125208.csv
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.7/female:0.3,female:0.8000/male:0.2000,male:0.7000/female:0.3000,2/8,7/3,0.814,237,13,80,170,0.09523809523809523,0.05523809523809524,0.020000000000000018,"{""tpr"": {""male"": 0.6514285714285715, ""female"": 0.7466666666666667}, ""fpr"": {""male"": 0.06857142857142857, ""female"": 0.013333333333333334}, ""pos_rate"": {""male"": 0.36, ""female"": 0.38}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753428931018809245.csv
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.8/female:0.2,female:0.8000/male:0.2000,male:0.8000/female:0.2000,2/8,8/2,0.788,229,21,85,165,0.10000000000000009,0.08,0.09000000000000002,"{""tpr"": {""female"": 0.58, ""male"": 0.68}, ""fpr"": {""female"": 0.02, ""male"": 0.1}, ""pos_rate"": {""female"": 0.3, ""male"": 0.39}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753428932985191034.csv
0,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.9/female:0.1,female:0.8000/male:0.2000,male:0.9000/female:0.1000,2/8,9/1,0.782,229,21,88,162,0.03555555555555556,0.09333333333333334,0.028888888888888853,"{""tpr"": {""female"": 0.68, ""male"": 0.6444444444444445}, ""fpr"": {""female"": 0.0, ""male"": 0.09333333333333334}, ""pos_rate"": {""female"": 0.34, ""male"": 0.3688888888888889}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753428934936674380.csv
0,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,male:0.5000/female:0.5000,female:0.9000/male:0.1000,5/5,1/9,0.926,246,4,33,217,0.10222222222222221,0.017777777777777778,0.04222222222222222,"{""tpr"": {""male"": 0.96, ""female"": 0.8577777777777778}, ""fpr"": {""male"": 0.0, ""female"": 0.017777777777777778}, ""pos_rate"": {""male"": 0.48, ""female"": 0.43777777777777777}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753430688251642561.csv
0,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.2/female:0.8,male:0.5000/female:0.5000,female:0.8000/male:0.2000,5/5,2/8,0.928,242,8,28,222,0.010000000000000009,0.034999999999999996,0.012499999999999956,"{""tpr"": {""male"": 0.88, ""female"": 0.89}, ""fpr"": {""male"": 0.06, ""female"": 0.025}, ""pos_rate"": {""male"": 0.47, ""female"": 0.4575}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753430690153650236.csv
0,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.3/female:0.7,male:0.5000/female:0.5000,female:0.7000/male:0.3000,5/5,3/7,0.918,243,7,34,216,0.04190476190476189,0.0019047619047619022,0.020000000000000018,"{""tpr"": {""male"": 0.8933333333333333, ""female"": 0.8514285714285714}, ""fpr"": {""male"": 0.02666666666666667, ""female"": 0.02857142857142857}, ""pos_rate"": {""male"": 0.46, ""female"": 0.44}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753430692073254452.csv
0,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.4/female:0.6,male:0.5000/female:0.5000,female:0.6000/male:0.4000,5/5,4/6,0.906,237,13,34,216,0.026666666666666616,0.003333333333333334,0.011666666666666714,"{""tpr"": {""male"": 0.88, ""female"": 0.8533333333333334}, ""fpr"": {""male"": 0.05, ""female"": 0.05333333333333334}, ""pos_rate"": {""male"": 0.465, ""female"": 0.4533333333333333}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753430693963225054.csv
0,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.5/female:0.5,male:0.5000/female:0.5000,female:0.5000/male:0.5000,5/5,5/5,0.944,243,7,21,229,0.02400000000000002,0.008,0.007999999999999952,"{""tpr"": {""female"": 0.904, ""male"": 0.928}, ""fpr"": {""female"": 0.032, ""male"": 0.024}, ""pos_rate"": {""female"": 0.468, ""male"": 0.476}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753430696089068901.csv
0,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.6/female:0.4,male:0.5000/female:0.5000,male:0.6000/female:0.4000,5/5,6/4,0.938,244,6,25,225,0.08333333333333337,0.02333333333333333,0.053333333333333344,"{""tpr"": {""female"": 0.85, ""male"": 0.9333333333333333}, ""fpr"": {""female"": 0.01, ""male"": 0.03333333333333333}, ""pos_rate"": {""female"": 0.43, ""male"": 0.48333333333333334}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753430697904542601.csv
0,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.7/female:0.3,male:0.5000/female:0.5000,male:0.7000/female:0.3000,5/5,7/3,0.93,243,7,28,222,0.18285714285714283,0.05523809523809524,0.06380952380952382,"{""tpr"": {""male"": 0.9428571428571428, ""female"": 0.76}, ""fpr"": {""male"": 0.011428571428571429, ""female"": 0.06666666666666667}, ""pos_rate"": {""male"": 0.47714285714285715, ""female"": 0.41333333333333333}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753430699735243386.csv
0,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.8/female:0.2,male:0.5000/female:0.5000,male:0.8000/female:0.2000,5/5,8/2,0.942,242,8,21,229,0.07000000000000006,0.015000000000000003,0.04249999999999998,"{""tpr"": {""male"": 0.93, ""female"": 0.86}, ""fpr"": {""male"": 0.035, ""female"": 0.02}, ""pos_rate"": {""male"": 0.4825, ""female"": 0.44}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753430701612024030.csv
0,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.9/female:0.1,male:0.5000/female:0.5000,male:0.9000/female:0.1000,5/5,9/1,0.938,245,5,26,224,0.10666666666666658,0.022222222222222223,0.06444444444444442,"{""tpr"": {""male"": 0.9066666666666666, ""female"": 0.8}, ""fpr"": {""male"": 0.022222222222222223, ""female"": 0.0}, ""pos_rate"": {""male"": 0.46444444444444444, ""female"": 0.4}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753430703450727982.csv
0,inceptionv3,sex,5000,male:0.8/female:0.2,500,male:0.1/female:0.9,male:0.8000/female:0.2000,female:0.9000/male:0.1000,8/2,1/9,0.856,226,24,48,202,0.03555555555555556,0.06222222222222223,0.013333333333333308,"{""tpr"": {""male"": 0.84, ""female"": 0.8044444444444444}, ""fpr"": {""male"": 0.04, ""female"": 0.10222222222222223}, ""pos_rate"": {""male"": 0.44, ""female"": 0.4533333333333333}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753431691237271576.csv
0,inceptionv3,sex,5000,male:0.8/female:0.2,500,male:0.2/female:0.8,male:0.8000/female:0.2000,female:0.8000/male:0.2000,8/2,2/8,0.86,219,31,39,211,0.16999999999999993,0.020000000000000018,0.09500000000000003,"{""tpr"": {""male"": 0.98, ""female"": 0.81}, ""fpr"": {""male"": 0.14, ""female"": 0.12}, ""pos_rate"": {""male"": 0.56, ""female"": 0.465}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753431693159395592.csv
0,inceptionv3,sex,5000,male:0.8/female:0.2,500,male:0.3/female:0.7,male:0.8000/female:0.2000,female:0.7000/male:0.3000,8/2,3/7,0.902,231,19,30,220,0.09523809523809523,0.03238095238095238,0.03142857142857142,"{""tpr"": {""female"": 0.8514285714285714, ""male"": 0.9466666666666667}, ""fpr"": {""female"": 0.08571428571428572, ""male"": 0.05333333333333334}, ""pos_rate"": {""female"": 0.4685714285714286, ""male"": 0.5}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753431695102980561.csv
0,inceptionv3,sex,5000,male:0.8/female:0.2,500,male:0.4/female:0.6,male:0.8000/female:0.2000,female:0.6000/male:0.4000,8/2,4/6,0.86,224,26,44,206,0.10999999999999999,0.02333333333333333,0.043333333333333335,"{""tpr"": {""female"": 0.78, ""male"": 0.89}, ""fpr"": {""female"": 0.11333333333333333, ""male"": 0.09}, ""pos_rate"": {""female"": 0.44666666666666666, ""male"": 0.49}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753431696918885270.csv
0,inceptionv3,sex,5000,male:0.8/female:0.2,500,male:0.5/female:0.5,male:0.8000/female:0.2000,male:0.5000/female:0.5000,8/2,5/5,0.854,227,23,50,200,0.17600000000000005,0.055999999999999994,0.06,"{""tpr"": {""male"": 0.888, ""female"": 0.712}, ""fpr"": {""male"": 0.064, ""female"": 0.12}, ""pos_rate"": {""male"": 0.476, ""female"": 0.416}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753431698730543054.csv
0,inceptionv3,sex,5000,male:0.8/female:0.2,500,male:0.6/female:0.4,male:0.8000/female:0.2000,male:0.6000/female:0.4000,8/2,6/4,0.898,225,25,26,224,0.10999999999999999,0.016666666666666663,0.046666666666666745,"{""tpr"": {""female"": 0.83, ""male"": 0.94}, ""fpr"": {""female"": 0.11, ""male"": 0.09333333333333334}, ""pos_rate"": {""female"": 0.47, ""male"": 0.5166666666666667}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753431700523393553.csv
0,inceptionv3,sex,5000,male:0.8/female:0.2,500,male:0.7/female:0.3,male:0.8000/female:0.2000,male:0.7000/female:0.3000,8/2,7/3,0.92,233,17,23,227,0.15428571428571425,0.055238095238095246,0.04952380952380958,"{""tpr"": {""female"": 0.8, ""male"": 0.9542857142857143}, ""fpr"": {""female"": 0.10666666666666667, ""male"": 0.05142857142857143}, ""pos_rate"": {""female"": 0.4533333333333333, ""male"": 0.5028571428571429}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753431702209576163.csv
0,inceptionv3,sex,5000,male:0.8/female:0.2,500,male:0.8/female:0.2,male:0.8000/female:0.2000,male:0.8000/female:0.2000,8/2,8/2,0.918,225,25,16,234,0.12,0.05000000000000002,0.03500000000000003,"{""tpr"": {""female"": 0.84, ""male"": 0.96}, ""fpr"": {""female"": 0.14, ""male"": 0.09}, ""pos_rate"": {""female"": 0.49, ""male"": 0.525}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753431703896285105.csv
0,inceptionv3,sex,5000,male:0.8/female:0.2,500,male:0.9/female:0.1,male:0.8000/female:0.2000,male:0.9000/female:0.1000,8/2,9/1,0.944,233,17,11,239,0.039999999999999925,0.057777777777777775,0.008888888888888946,"{""tpr"": {""male"": 0.96, ""female"": 0.92}, ""fpr"": {""male"": 0.06222222222222222, ""female"": 0.12}, ""pos_rate"": {""male"": 0.5111111111111111, ""female"": 0.52}}",/kaggle/working/res/roc_sex_inceptionv3_rep0_1753431705484845684.csv
1,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.1/female:0.9,female:0.8000/male:0.2000,female:0.9000/male:0.1000,2/8,1/9,0.888,218,32,24,226,0.06222222222222218,0.21333333333333332,0.13777777777777778,"{""tpr"": {""female"": 0.8977777777777778, ""male"": 0.96}, ""fpr"": {""female"": 0.10666666666666667, ""male"": 0.32}, ""pos_rate"": {""female"": 0.5022222222222222, ""male"": 0.64}}",/kaggle/working/res/roc_sex_inceptionv3_rep1_1753432581235678545.csv
1,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.2/female:0.8,female:0.8000/male:0.2000,female:0.8000/male:0.2000,2/8,2/8,0.916,223,27,15,235,0.02499999999999991,0.16499999999999998,0.09499999999999997,"{""tpr"": {""male"": 0.96, ""female"": 0.935}, ""fpr"": {""male"": 0.24, ""female"": 0.075}, ""pos_rate"": {""male"": 0.6, ""female"": 0.505}}",/kaggle/working/res/roc_sex_inceptionv3_rep1_1753432582968672877.csv
1,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.3/female:0.7,female:0.8000/male:0.2000,female:0.7000/male:0.3000,2/8,3/7,0.882,212,38,21,229,0.01333333333333342,0.03047619047619049,0.008571428571428563,"{""tpr"": {""male"": 0.9066666666666666, ""female"": 0.92}, ""fpr"": {""male"": 0.17333333333333334, ""female"": 0.14285714285714285}, ""pos_rate"": {""male"": 0.54, ""female"": 0.5314285714285715}}",/kaggle/working/res/roc_sex_inceptionv3_rep1_1753432584741118286.csv
1,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.4/female:0.6,female:0.8000/male:0.2000,female:0.6000/male:0.4000,2/8,4/6,0.87,211,39,26,224,0.040000000000000036,0.12333333333333334,0.08166666666666661,"{""tpr"": {""male"": 0.92, ""female"": 0.88}, ""fpr"": {""male"": 0.23, ""female"": 0.10666666666666667}, ""pos_rate"": {""male"": 0.575, ""female"": 0.49333333333333335}}",/kaggle/working/res/roc_sex_inceptionv3_rep1_1753432586479114691.csv
1,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.5/female:0.5,female:0.8000/male:0.2000,male:0.5000/female:0.5000,2/8,5/5,0.876,211,39,23,227,0.008000000000000007,0.07200000000000001,0.03200000000000003,"{""tpr"": {""male"": 0.904, ""female"": 0.912}, ""fpr"": {""male"": 0.192, ""female"": 0.12}, ""pos_rate"": {""male"": 0.548, ""female"": 0.516}}",/kaggle/working/res/roc_sex_inceptionv3_rep1_1753432588122534576.csv
1,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.6/female:0.4,female:0.8000/male:0.2000,male:0.6000/female:0.4000,2/8,6/4,0.87,204,46,19,231,0.023333333333333317,0.07333333333333333,0.04833333333333334,"{""tpr"": {""male"": 0.9333333333333333, ""female"": 0.91}, ""fpr"": {""male"": 0.21333333333333335, ""female"": 0.14}, ""pos_rate"": {""male"": 0.5733333333333334, ""female"": 0.525}}",/kaggle/working/res/roc_sex_inceptionv3_rep1_1753432589777876238.csv
1,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.7/female:0.3,female:0.8000/male:0.2000,male:0.7000/female:0.3000,2/8,7/3,0.864,205,45,23,227,0.0552380952380952,0.18095238095238095,0.06285714285714283,"{""tpr"": {""female"": 0.9466666666666667, ""male"": 0.8914285714285715}, ""fpr"": {""female"": 0.05333333333333334, ""male"": 0.2342857142857143}, ""pos_rate"": {""female"": 0.5, ""male"": 0.5628571428571428}}",/kaggle/working/res/roc_sex_inceptionv3_rep1_1753432591516336465.csv
1,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.8/female:0.2,female:0.8000/male:0.2000,male:0.8000/female:0.2000,2/8,8/2,0.864,200,50,18,232,0.014999999999999902,0.07499999999999998,0.029999999999999916,"{""tpr"": {""male"": 0.925, ""female"": 0.94}, ""fpr"": {""male"": 0.215, ""female"": 0.14}, ""pos_rate"": {""male"": 0.57, ""female"": 0.54}}",/kaggle/working/res/roc_sex_inceptionv3_rep1_1753432593356593608.csv
1,inceptionv3,sex,5000,male:0.2/female:0.8,500,male:0.9/female:0.1,female:0.8000/male:0.2000,male:0.9000/female:0.1000,2/8,9/1,0.848,199,51,25,225,0.022222222222222254,0.1822222222222222,0.08000000000000007,"{""tpr"": {""female"": 0.92, ""male"": 0.8977777777777778}, ""fpr"": {""female"": 0.04, ""male"": 0.2222222222222222}, ""pos_rate"": {""female"": 0.48, ""male"": 0.56}}",/kaggle/working/res/roc_sex_inceptionv3_rep1_1753432595031575191.csv
1,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,female:0.5000/male:0.5000,female:0.9000/male:0.1000,5/5,1/9,0.892,245,5,49,201,0.17333333333333334,0.022222222222222223,0.07555555555555554,"{""tpr"": {""female"": 0.7866666666666666, ""male"": 0.96}, ""fpr"": {""female"": 0.022222222222222223, ""male"": 0.0}, ""pos_rate"": {""female"": 0.40444444444444444, ""male"": 0.48}}",/kaggle/working/res/roc_sex_inceptionv3_rep1_1753433962978464849.csv
1,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.2/female:0.8,female:0.5000/male:0.5000,female:0.8000/male:0.2000,5/5,2/8,0.904,239,11,37,213,0.03500000000000003,0.07,0.05249999999999999,"{""tpr"": {""female"": 0.845, ""male"": 0.88}, ""fpr"": {""female"": 0.03, ""male"": 0.1}, ""pos_rate"": {""female"": 0.4375, ""male"": 0.49}}",/kaggle/working/res/roc_sex_inceptionv3_rep1_1753433964741972578.csv
1,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.3/female:0.7,female:0.5000/male:0.5000,female:0.7000/male:0.3000,5/5,3/7,0.9,241,9,41,209,0.06285714285714283,0.024761904761904766,0.0438095238095238,"{""tpr"": {""male"": 0.88, ""female"": 0.8171428571428572}, ""fpr"": {""male"": 0.05333333333333334, ""female"": 0.02857142857142857}, ""pos_rate"": {""male"": 0.4666666666666667, ""female"": 0.4228571428571429}}",/kaggle/working/res/roc_sex_inceptionv3_rep1_1753433966411816007.csv
1,inceptionv3,sex,5000,male:0.5/female:0.5,500,male:0.4/female:0.6,female:0.5000/male:0.5000,female:0.6000/male:0.4000,5/5,4/6,0.92,242,8,32,218,0.09666666666666668,0.013333333333333332,0.05499999999999999,"{""tpr"": {""female"": 0.8333333333333334, ""male"": 0.93}, ""fpr"": {""female"": 0.02666666666666667, ""male"": 0.04}, ""pos_rate"": {""female"": 0.43, ""male"": 0.485}}",/kaggle/working/res/roc_sex_inceptionv3_rep1_1753433968183602134.csv
