rep,model_name,feature_split_col,train_size,train_ratio_detail,test_size,test_ratio_detail,accuracy,f1_score,eo_diff,train_ratio_rel,test_ratio_rel,train_ratio,test_ratio
0,xception,sex,5000,male:0.1/female:0.9,500,male:0.1/female:0.9,0.816,0.8157612265496084,0.14666666666666672,female:0.9000/male:0.1000,female:0.9000/male:0.1000,1/9,1/9
0,xception,sex,5000,male:0.1/female:0.9,500,male:0.3/female:0.7,0.774,0.7737384416385341,0.1619047619047619,female:0.9000/male:0.1000,female:0.7000/male:0.3000,1/9,3/7
0,xception,sex,5000,male:0.1/female:0.9,500,male:0.5/female:0.5,0.738,0.7376211249043619,0.16000000000000003,female:0.9000/male:0.1000,female:0.5000/male:0.5000,1/9,5/5
0,xception,sex,5000,male:0.1/female:0.9,500,male:0.7/female:0.3,0.724,0.7237834462218379,0.1295238095238095,female:0.9000/male:0.1000,male:0.7000/female:0.3000,1/9,7/3
0,xception,sex,5000,male:0.1/female:0.9,500,male:0.9/female:0.1,0.718,0.7175922031413361,0.22666666666666668,female:0.9000/male:0.1000,male:0.9000/female:0.1000,1/9,9/1
0,xception,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,0.832,0.832,0.03555555555555556,male:0.5000/female:0.5000,female:0.9000/male:0.1000,5/5,1/9
0,xception,sex,5000,male:0.5/female:0.5,500,male:0.3/female:0.7,0.836,0.8359973759580153,0.019047619047619035,male:0.5000/female:0.5000,female:0.7000/male:0.3000,5/5,3/7
0,xception,sex,5000,male:0.5/female:0.5,500,male:0.5/female:0.5,0.822,0.8219821982198221,0.039999999999999925,male:0.5000/female:0.5000,male:0.5000/female:0.5000,5/5,5/5
0,xception,sex,5000,male:0.5/female:0.5,500,male:0.7/female:0.3,0.84,0.8399590295115551,0.05333333333333333,male:0.5000/female:0.5000,male:0.7000/female:0.3000,5/5,7/3
0,xception,sex,5000,male:0.5/female:0.5,500,male:0.9/female:0.1,0.838,0.8379474949883763,0.026666666666666672,male:0.5000/female:0.5000,male:0.9000/female:0.1000,5/5,9/1
1,xception,sex,5000,male:0.1/female:0.9,500,male:0.1/female:0.9,0.85,0.8498648783905516,0.19999999999999998,female:0.9000/male:0.1000,female:0.9000/male:0.1000,1/9,1/9
